currNumReqs,requestRecv,requestDiscard,requestHandled,state,currTime,currBW,currPower,currLoad,currTolConsumption,currEnvCost,energy,,,,,,time,Average Power,Average Load,total consumption,,temp,scape
0,0,0,0,RUNNING,34,0,0.35,0,11.9,11.9,TRADITIONAL,,,,,,34,0.35,0.000000,0.000000,,,
1,1,0,0,RUNNING,89,0,0.353,0.02,31.315,31.315,TRADITIONAL,,,,,,100460,0.367532468,0.116883,36961.660000,,2,1002
2,2,0,0,RUNNING,94,0,0.356,0.04,33.095,33.095,TRADITIONAL,,,,,,201418,0.367223776,0.114825,74066.843000,,1002,2002
1,3,0,2,RUNNING,417,48,0.353,0.02,148.338,148.338,TRADITIONAL,,,,,,302656,0.368488511,0.123257,111345.455000,,2002,3002
2,4,0,2,RUNNING,489,54,0.356,0.04,173.97,173.97,TRADITIONAL,,,,,,405138,0.368245754,0.121638,149089.275000,,3002,4002
3,5,0,2,RUNNING,569,95,0.359,0.06,202.69,202.69,TRADITIONAL,,,,,,505630,0.36915984,0.127732,186193.052000,,4002,5002
2,6,0,4,RUNNING,619,32,0.356,0.04,220.703,220.703,TRADITIONAL,,,,,,607085,0.369210789,0.128072,223622.059000,,5002,6002
3,7,0,4,RUNNING,678,67,0.359,0.06,241.884,241.884,TRADITIONAL,,,,,,703522,0.368272727,0.121818,259122.716000,,6002,7002
4,8,0,4,RUNNING,719,103,0.362,0.08,256.726,256.726,TRADITIONAL,,,,,,805526,0.36877023,0.125135,296737.150000,,7002,8002
5,9,0,4,RUNNING,721,103,0.365,0.1,257.456,257.456,TRADITIONAL,,,,,,907555,0.36802997,0.120200,334287.953000,,8002,9002
6,10,0,4,RUNNING,767,115,0.368,0.12,274.384,274.384,TRADITIONAL,,,,,,1006866,0.368785215,0.125235,370937.211000,,9002,10002
7,11,0,4,RUNNING,783,148,0.371,0.14,280.32,280.32,TRADITIONAL,,,,,,1108119,0.367682318,0.117882,408179.487000,,10002,11002
8,12,0,4,RUNNING,886,316,0.374,0.16,318.842,318.842,TRADITIONAL,,,,,,1207117,0.368785215,0.125235,444648.557000,,11002,12002
8,13,0,5,RUNNING,1085,443,0.374,0.16,393.769,393.769,TRADITIONAL,,,,,,1309149,0.367997003,0.119980,482195.751000,,12002,13002
7,14,0,7,RUNNING,1134,341,0.371,0.14,412.191,412.191,TRADITIONAL,,,,,,1406370,0.369324675,0.128831,518088.042000,,13002,14002
8,15,0,7,RUNNING,1137,341,0.374,0.16,413.313,413.313,TRADITIONAL,,,,,,1509969,0.368902098,0.126014,556328.355000,,14002,15002
9,16,0,7,RUNNING,1141,341,0.377,0.18,414.821,414.821,TRADITIONAL,,,,,,1614998,0.367541459,0.116943,594953.506000,,15002,16002
10,17,0,7,RUNNING,1145,341,0.38,0.2,416.341,416.341,TRADITIONAL,,,,,,1711277,0.369201798,0.128012,630444.328000,,16002,17002
11,18,0,7,RUNNING,1161,347,0.383,0.22,422.469,422.469,TRADITIONAL,,,,,,1892730,0.367577423,0.117183,695811.651000,,17002,18002
11,19,0,8,RUNNING,1394,655,0.383,0.22,512.215,512.215,TRADITIONAL,,,,,,2896628,0.351672328,0.011149,1048907.032000,,18002,19002
11,20,0,9,RUNNING,1493,650,0.383,0.22,550.255,550.255,TRADITIONAL,,,,,,3599933,0.351645553,0.010970,1296281.704000,,19002,19743
11,21,0,10,RUNNING,1626,800,0.383,0.22,601.53,601.53,TRADITIONAL,,,,,,,,,,,,
12,22,0,10,RUNNING,1650,822,0.386,0.24,610.794,610.794,TRADITIONAL,,,,,,,,,,,,
3,23,0,20,RUNNING,2118,359,0.359,0.06,784.146,784.146,TRADITIONAL,,,,,,,,,,,,
4,24,0,20,RUNNING,2139,363,0.362,0.08,791.748,791.748,TRADITIONAL,,,,,,,,,,,,
4,25,0,21,RUNNING,2318,308,0.362,0.08,856.993,856.993,TRADITIONAL,,,,,,,,,,,,
3,26,0,23,RUNNING,2555,250,0.359,0.06,942.685,942.685,TRADITIONAL,,,,,,,,,,,,
4,27,0,23,RUNNING,2607,262,0.362,0.08,961.509,961.509,TRADITIONAL,,,,,,,,,,,,
5,28,0,23,RUNNING,2612,262,0.365,0.1,963.334,963.334,TRADITIONAL,,,,,,,,,,,,
3,29,0,26,RUNNING,2716,128,0.359,0.06,1001.06,1001.06,TRADITIONAL,,,,,,,,,,,,
4,30,0,26,RUNNING,2772,143,0.362,0.08,1021.332,1021.332,TRADITIONAL,,,,,,,,,,,,
5,31,0,26,RUNNING,2773,143,0.365,0.1,1021.697,1021.697,TRADITIONAL,,,,,,,,,,,,
4,32,0,28,RUNNING,2891,157,0.362,0.08,1065.055,1065.055,TRADITIONAL,,,,,,,,,,,,
4,33,0,29,RUNNING,3018,173,0.362,0.08,1111.38,1111.38,TRADITIONAL,,,,,,,,,,,,
4,34,0,30,RUNNING,3118,197,0.362,0.08,1147.649,1147.649,TRADITIONAL,,,,,,,,,,,,
5,35,0,30,RUNNING,3227,263,0.365,0.1,1187.434,1187.434,TRADITIONAL,,,,,,,,,,,,
6,36,0,30,RUNNING,3315,301,0.368,0.12,1219.818,1219.818,TRADITIONAL,,,,,,,,,,,,
7,37,0,30,RUNNING,3393,371,0.371,0.14,1248.756,1248.756,TRADITIONAL,,,,,,,,,,,,
7,38,0,31,RUNNING,3522,458,0.371,0.14,1296.978,1296.978,TRADITIONAL,,,,,,,,,,,,
8,39,0,31,RUNNING,3524,458,0.374,0.16,1297.726,1297.726,TRADITIONAL,,,,,,,,,,,,
9,40,0,31,RUNNING,3546,470,0.377,0.18,1306.02,1306.02,TRADITIONAL,,,,,,,,,,,,
7,41,0,34,RUNNING,3771,566,0.371,0.14,1390.446,1390.446,TRADITIONAL,,,,,,,,,,,,
8,42,0,34,RUNNING,3775,566,0.374,0.16,1391.942,1391.942,TRADITIONAL,,,,,,,,,,,,
7,43,0,36,RUNNING,3835,421,0.371,0.14,1414.382,1414.382,TRADITIONAL,,,,,,,,,,,,
7,44,0,37,RUNNING,4010,475,0.371,0.14,1479.559,1479.559,TRADITIONAL,,,,,,,,,,,,
7,45,0,38,RUNNING,4058,432,0.371,0.14,1497.421,1497.421,TRADITIONAL,,,,,,,,,,,,
5,46,0,41,RUNNING,4114,281,0.365,0.1,1518.122,1518.122,TRADITIONAL,,,,,,,,,,,,
6,47,0,41,RUNNING,4192,342,0.368,0.12,1546.826,1546.826,TRADITIONAL,,,,,,,,,,,,
7,48,0,41,RUNNING,4358,493,0.371,0.14,1608.412,1608.412,TRADITIONAL,,,,,,,,,,,,
7,49,0,42,RUNNING,4468,531,0.371,0.14,1649.36,1649.36,TRADITIONAL,,,,,,,,,,,,
5,50,0,45,RUNNING,4677,382,0.365,0.1,1726.596,1726.596,TRADITIONAL,,,,,,,,,,,,
5,51,0,46,RUNNING,4727,326,0.365,0.1,1744.933,1744.933,TRADITIONAL,,,,,,,,,,,,
3,52,0,49,RUNNING,5093,223,0.359,0.06,1877.875,1877.875,TRADITIONAL,,,,,,,,,,,,
3,53,0,50,RUNNING,5155,135,0.359,0.06,1900.196,1900.196,TRADITIONAL,,,,,,,,,,,,
4,54,0,50,RUNNING,5165,135,0.362,0.08,1903.816,1903.816,TRADITIONAL,,,,,,,,,,,,
5,55,0,50,RUNNING,5227,178,0.365,0.1,1926.446,1926.446,TRADITIONAL,,,,,,,,,,,,
6,56,0,50,RUNNING,5265,247,0.368,0.12,1940.43,1940.43,TRADITIONAL,,,,,,,,,,,,
6,57,0,51,RUNNING,5328,267,0.368,0.12,1963.791,1963.791,TRADITIONAL,,,,,,,,,,,,
7,58,0,51,RUNNING,5352,277,0.371,0.14,1972.695,1972.695,TRADITIONAL,,,,,,,,,,,,
7,59,0,52,RUNNING,5390,284,0.371,0.14,1986.88,1986.88,TRADITIONAL,,,,,,,,,,,,
6,60,0,54,RUNNING,5532,298,0.368,0.12,2039.721,2039.721,TRADITIONAL,,,,,,,,,,,,
5,61,0,56,RUNNING,5711,276,0.365,0.1,2105.77,2105.77,TRADITIONAL,,,,,,,,,,,,
5,62,0,57,RUNNING,5716,240,0.365,0.1,2107.61,2107.61,TRADITIONAL,,,,,,,,,,,,
5,63,0,58,RUNNING,5792,193,0.365,0.1,2135.551,2135.551,TRADITIONAL,,,,,,,,,,,,
6,64,0,58,RUNNING,5837,268,0.368,0.12,2152.111,2152.111,TRADITIONAL,,,,,,,,,,,,
6,65,0,59,RUNNING,5953,309,0.368,0.12,2194.817,2194.817,TRADITIONAL,,,,,,,,,,,,
6,66,0,60,RUNNING,6056,344,0.368,0.12,2232.751,2232.751,TRADITIONAL,,,,,,,,,,,,
7,67,0,60,RUNNING,6061,344,0.371,0.14,2234.606,2234.606,TRADITIONAL,,,,,,,,,,,,
6,68,0,62,RUNNING,6206,391,0.368,0.12,2288.497,2288.497,TRADITIONAL,,,,,,,,,,,,
5,69,0,64,RUNNING,6371,358,0.365,0.1,2349.493,2349.493,TRADITIONAL,,,,,,,,,,,,
6,70,0,64,RUNNING,6421,378,0.368,0.12,2367.893,2367.893,TRADITIONAL,,,,,,,,,,,,
6,71,0,65,RUNNING,6479,316,0.368,0.12,2389.318,2389.318,TRADITIONAL,,,,,,,,,,,,
7,72,0,65,RUNNING,6531,367,0.371,0.14,2408.61,2408.61,TRADITIONAL,,,,,,,,,,,,
8,73,0,65,RUNNING,6559,379,0.374,0.16,2419.082,2419.082,TRADITIONAL,,,,,,,,,,,,
9,74,0,65,RUNNING,6632,480,0.377,0.18,2446.603,2446.603,TRADITIONAL,,,,,,,,,,,,
8,75,0,67,RUNNING,6690,431,0.374,0.16,2468.319,2468.319,TRADITIONAL,,,,,,,,,,,,
9,76,0,67,RUNNING,6694,431,0.377,0.18,2469.827,2469.827,TRADITIONAL,,,,,,,,,,,,
9,77,0,68,RUNNING,6723,385,0.377,0.18,2480.778,2480.778,TRADITIONAL,,,,,,,,,,,,
5,78,0,73,RUNNING,7129,477,0.365,0.1,2631.422,2631.422,TRADITIONAL,,,,,,,,,,,,
6,79,0,73,RUNNING,7142,482,0.368,0.12,2636.206,2636.206,TRADITIONAL,,,,,,,,,,,,
6,80,0,74,RUNNING,7190,434,0.368,0.12,2653.876,2653.876,TRADITIONAL,,,,,,,,,,,,
7,81,0,74,RUNNING,7262,522,0.371,0.14,2680.588,2680.588,TRADITIONAL,,,,,,,,,,,,
8,82,0,74,RUNNING,7413,678,0.374,0.16,2737.062,2737.062,TRADITIONAL,,,,,,,,,,,,
9,83,0,74,RUNNING,7424,682,0.377,0.18,2741.209,2741.209,TRADITIONAL,,,,,,,,,,,,
