currTime,TotalEnergyConsumption,TotalEnvCost
34,55,55
89,155,155
94,165,165
417,740,740
489,865,865
569,1010,1010
619,1100,1100
678,1205,1205
719,1280,1280
721,1285,1285
767,1370,1370
783,1400,1400
886,1590,1590
1085,1965,1965
1134,2060,2060
1137,2065,2065
1141,2070,2070
1145,2080,2080
1161,2110,2110
1394,2560,2560
1493,2750,2750
1626,3005,3005
1650,3050,3050
2118,3920,3920
2139,3955,3955
2318,4280,4280
2555,4710,4710
2607,4805,4805
2612,4815,4815
2716,5005,5005
2772,5105,5105
2773,5105,5105
2891,5325,5325
3018,5555,5555
3118,5735,5735
3227,5935,5935
3315,6095,6095
3393,6240,6240
3522,6480,6480
3524,6485,6485
3546,6530,6530
3771,6950,6950
3775,6955,6955
3835,7070,7070
4010,7395,7395
4058,7485,7485
4114,7590,7590
4192,7730,7730
4358,8040,8040
4468,8245,8245
4677,8630,8630
4727,8720,8720
5093,9385,9385
5155,9500,9500
5165,9515,9515
5227,9630,9630
5265,9700,9700
5328,9815,9815
5352,9860,9860
5390,9930,9930
5532,10195,10195
5711,10525,10525
5716,10535,10535
5792,10675,10675
5837,10760,10760
5953,10970,10970
6056,11160,11160
6061,11170,11170
6206,11440,11440
6371,11745,11745
6421,11835,11835
6479,11945,11945
6531,12040,12040
6559,12095,12095
6632,12230,12230
6690,12340,12340
6694,12345,12345
6723,12400,12400
7129,13155,13155
7142,13180,13180
7190,13265,13265
7262,13400,13400
7413,13685,13685
7424,13705,13705
7546,13935,13935
7570,13980,13980
7594,14025,14025
7778,14370,14370
7862,14530,14530
8158,15085,15085
8166,15100,15100
8208,15175,15175
8380,15500,15500
8389,15515,15515
8529,15780,15780
8539,15800,15800
8742,16185,16185
8821,16335,16335
8832,16355,16355
8842,16370,16370
9057,16775,16775
9103,16860,16860
9170,16985,16985
9228,17095,17095
9320,17265,17265
9325,17275,17275
9377,17370,17370
9674,17910,17910
9775,18095,18095
9888,18300,18300
9932,18380,18380
10061,18615,18615
10148,18775,18775
10210,18890,18890
10220,18910,18910
10300,19060,19060
10747,19880,19880
10833,20035,20035
11033,20395,20395
11075,20470,20470
11374,21010,21010
11399,21055,21055
11428,21110,21110
11715,21630,21630
11761,21715,21715
11825,21830,21830
11861,21900,21900
11953,22070,22070
11963,22085,22085
11996,22150,22150
12163,22460,22460
12281,22680,22680
12416,22930,22930
12489,23065,23065
12514,23110,23110
12524,23130,23130
12651,23370,23370
12822,23695,23695
12879,23800,23800
13020,24055,24055
13027,24070,24070
13064,24140,24140
13126,24255,24255
13396,24755,24755
13507,24960,24960
13540,25025,25025
13609,25150,25150
13689,25305,25305
13691,25305,25305
13906,25710,25710
14093,26055,26055
14094,26055,26055
14130,26125,26125
14143,26145,26145
14167,26190,26190
14262,26370,26370
14287,26415,26415
14309,26460,26460
14358,26550,26550
14512,26835,26835
14567,26940,26940
14608,27015,27015
14691,27170,27170
14883,27530,27530
14904,27570,27570
14926,27610,27610
15028,27800,27800
15053,27845,27845
15768,29160,29160
15885,29370,29370
15976,29535,29535
15998,29575,29575
16363,30250,30250
16375,30275,30275
16427,30370,30370
16596,30680,30680
16635,30750,30750
16657,30790,30790
16675,30825,30825
16710,30890,30890
16712,30895,30895
16781,31025,31025
16786,31035,31035
17101,31625,31625
17127,31670,31670
17170,31750,31750
17193,31790,31790
17242,31880,31880
17385,32145,32145
17429,32225,32225
17444,32255,32255
17737,32795,32795
17811,32930,32930
17819,32945,32945
17835,32975,32975
17938,33170,33170
18264,33775,33775
18287,33815,33815
18292,33825,33825
18362,33955,33955
18530,34265,34265
18576,34350,34350
18584,34365,34365
18667,34520,34520
18902,34950,34950
19178,35455,35455
19404,35865,35865
19477,36000,36000
19528,36090,36090
19556,36145,36145
19667,36350,36350
19683,36380,36380
19912,36805,36805
20121,37190,37190
20273,37465,37465
20327,37560,37560
20475,37830,37830
20506,37885,37885
20508,37890,37890
20515,37900,37900
20606,38070,38070
20661,38170,38170
20709,38260,38260
20762,38360,38360
20765,38365,38365
21084,38945,38945
21091,38955,38955
21297,39325,39325
21327,39380,39380
21338,39400,39400
21367,39455,39455
21423,39555,39555
21448,39600,39600
21590,39860,39860
21843,40325,40325
21862,40360,40360
22069,40740,40740
22314,41185,41185
22358,41265,41265
22451,41435,41435
22500,41525,41525
22538,41595,41595
22615,41735,41735
22641,41785,41785
22771,42025,42025
22813,42105,42105
22968,42390,42390
23048,42540,42540
23224,42865,42865
23274,42955,42955
23353,43105,43105
23380,43155,43155
23709,43760,43760
23770,43875,43875
23867,44055,44055
24007,44315,44315
24224,44715,44715
24298,44850,44850
24703,45585,45585
24777,45720,45720
24788,45740,45740
25000,46130,46130
25057,46235,46235
25337,46750,46750
25369,46805,46805
25407,46875,46875
25459,46975,46975
25497,47045,47045
25593,47220,47220
25672,47360,47360
25858,47695,47695
25874,47725,47725
25995,47945,47945
25997,47945,47945
26099,48135,48135
26215,48345,48345
26580,49005,49005
26688,49200,49200
26701,49220,49220
26964,49700,49700
27006,49770,49770
27122,49980,49980
27124,49985,49985
27125,49985,49985
27315,50330,50330
27327,50350,50350
27508,50685,50685
27649,50940,50940
27708,51050,51050
27716,51060,51060
28091,51745,51745
28384,52265,52265
28434,52355,52355
28481,52440,52440
28709,52855,52855
28877,53160,53160
28881,53165,53165
28909,53215,53215
28940,53275,53275
29102,53570,53570
29198,53750,53750
29283,53910,53910
29383,54095,54095
29470,54260,54260
29567,54440,54440
29594,54490,54490
29625,54550,54550
29781,54835,54835
29838,54940,54940
29874,55005,55005
30001,55240,55240
30179,55565,55565
30207,55615,55615
30285,55755,55755
30298,55780,55780
30372,55920,55920
30632,56395,56395
30678,56480,56480
31022,57100,57100
31036,57125,57125
31082,57210,57210
31099,57240,57240
31171,57370,57370
31324,57655,57655
31466,57915,57915
31528,58030,58030
31596,58155,58155
31787,58510,58510
31848,58620,58620
31887,58695,58695
31968,58840,58840
32018,58935,58935
32230,59325,59325
32315,59485,59485
32414,59670,59670
32444,59730,59730
32451,59740,59740
32508,59850,59850
32640,60105,60105
32992,60770,60770
33065,60905,60905
33168,61095,61095
33203,61160,61160
33213,61175,61175
33296,61330,61330
33424,61570,61570
33445,61610,61610
33462,61645,61645
33975,62595,62595
33993,62625,62625
34018,62670,62670
34142,62900,62900
34161,62940,62940
34273,63145,63145
34286,63170,63170
34633,63810,63810
34806,64125,64125
34951,64390,64390
35137,64730,64730
35232,64900,64900
35272,64975,64975
35529,65445,65445
35588,65555,65555
35626,65625,65625
35694,65755,65755
35892,66120,66120
35902,66140,66140
36053,66425,66425
36084,66480,66480
36106,66525,66525
36371,67020,67020
36383,67040,67040
36411,67095,67095
36621,67480,67480
36701,67620,67620
36709,67635,67635
36762,67735,67735
36883,67960,67960
36911,68010,68010
37071,68310,68310
37244,68635,68635
37253,68650,68650
37427,68975,68975
37432,68985,68985
37444,69005,69005
37554,69215,69215
37563,69230,69230
37601,69305,69305
37620,69340,69340
37798,69680,69680
37823,69730,69730
37976,70020,70020
37984,70035,70035
37997,70055,70055
38112,70275,70275
38352,70715,70715
38426,70850,70850
38479,70945,70945
38490,70965,70965
38772,71485,71485
38918,71755,71755
39030,71955,71955
39079,72045,72045
39080,72050,72050
39363,72570,72570
39382,72605,72605
39456,72740,72740
39508,72835,72835
39692,73175,73175
39839,73445,73445
39966,73680,73680
40061,73855,73855
40096,73920,73920
40221,74150,74150
40273,74245,74245
40365,74415,74415
40402,74485,74485
40459,74595,74595
40761,75160,75160
41273,76100,76100
41296,76145,76145
41332,76210,76210
41379,76300,76300
41414,76365,76365
41604,76720,76720
41639,76785,76785
41672,76850,76850
41761,77015,77015
41793,77075,77075
41814,77115,77115
42004,77480,77480
42114,77685,77685
42181,77810,77810
42246,77935,77935
42258,77955,77955
42332,78095,78095
42475,78365,78365
