Rank,Probability skew=0.1,Probability skew=0.5,Probability skew=1
1,0.005331869,0.030164287,0.159252645
2,0.00497481,0.021329372,0.079626323
3,0.004777133,0.017415359,0.053084215
4,0.004641662,0.015082144,0.039813161
5,0.004539233,0.013489879,0.031850529
6,0.004457223,0.012314519,0.026542108
7,0.004389042,0.011401029,0.022750378
8,0.004330824,0.010664686,0.019906581
9,0.004280113,0.010054762,0.017694738
10,0.004235254,0.009538785,0.015925265
11,0.00419508,0.009094875,0.014477513
12,0.004158736,0.00870768,0.013271054
13,0.004125581,0.008366068,0.012250203
14,0.004095121,0.008061745,0.011375189
15,0.004066964,0.007788385,0.010616843
16,0.004040801,0.007541072,0.00995329
17,0.004016378,0.007315914,0.009367803
18,0.003993487,0.007109791,0.008847369
19,0.003971953,0.006920162,0.008381718
20,0.003951632,0.00674494,0.007962632
21,0.003932399,0.006582387,0.007583459
22,0.003914148,0.006431048,0.007238757
23,0.003896787,0.006289689,0.006924028
24,0.003880238,0.006157259,0.006635527
25,0.00386443,0.006032857,0.006370106
26,0.003849304,0.005915703,0.006125102
27,0.003834804,0.00580512,0.005898246
28,0.003820883,0.005700514,0.005687594
29,0.003807498,0.005601368,0.005491471
30,0.003794612,0.00550722,0.005308422
31,0.00378219,0.005417666,0.005137182
32,0.003770201,0.005332343,0.004976645
33,0.003758617,0.005250928,0.004825838
34,0.003747413,0.005173133,0.004683901
35,0.003736566,0.005098695,0.004550076
36,0.003726055,0.005027381,0.004423685
37,0.00371586,0.004958978,0.004304126
38,0.003705964,0.004893294,0.004190859
39,0.00369635,0.004830152,0.004083401
40,0.003687003,0.004769393,0.003981316
41,0.00367791,0.00471087,0.003884211
42,0.003669058,0.004654451,0.00379173
43,0.003660435,0.004600011,0.00370355
44,0.003652029,0.004547437,0.003619378
45,0.003643831,0.004496626,0.003538948
46,0.003635831,0.004447482,0.003462014
47,0.00362802,0.004399914,0.003388354
48,0.00362039,0.00435384,0.003317763
49,0.003612933,0.004309184,0.003250054
50,0.003605641,0.004265874,0.003185053
51,0.003598508,0.004223845,0.003122601
52,0.003591527,0.004183034,0.003062551
53,0.003584693,0.004143384,0.003004767
54,0.003577998,0.00410484,0.002949123
55,0.003571439,0.004067352,0.002895503
56,0.00356501,0.004030872,0.002843797
57,0.003558705,0.003995357,0.002793906
58,0.003552521,0.003960765,0.002745735
59,0.003546454,0.003927056,0.002699197
60,0.003540498,0.003894193,0.002654211
61,0.003534651,0.003862141,0.002610699
62,0.003528908,0.003830868,0.002568591
63,0.003523266,0.003800343,0.00252782
64,0.003517722,0.003770536,0.002488323
65,0.003512272,0.003741419,0.002450041
66,0.003506914,0.003712967,0.002412919
67,0.003501644,0.003685154,0.002376905
68,0.00349646,0.003657957,0.002341951
69,0.00349136,0.003631353,0.002308009
70,0.00348634,0.003605322,0.002275038
71,0.003481398,0.003579842,0.002242995
72,0.003476532,0.003554895,0.002211842
73,0.00347174,0.003530463,0.002181543
74,0.00346702,0.003506527,0.002152063
75,0.003462369,0.003483072,0.002123369
76,0.003457786,0.003460081,0.00209543
77,0.003453269,0.00343754,0.002068216
78,0.003448816,0.003415433,0.002041701
79,0.003444425,0.003393747,0.002015856
80,0.003440096,0.00337247,0.001990658
81,0.003435825,0.003351587,0.001966082
82,0.003431612,0.003331088,0.001942105
83,0.003427454,0.003310961,0.001918707
84,0.003423352,0.003291194,0.001895865
85,0.003419303,0.003271776,0.001873561
86,0.003415306,0.003252699,0.001851775
87,0.00341136,0.003233951,0.00183049
88,0.003407464,0.003215524,0.001809689
89,0.003403616,0.003197408,0.001789356
90,0.003399815,0.003179595,0.001769474
91,0.00339606,0.003162076,0.001750029
92,0.003392351,0.003144844,0.001731007
93,0.003388685,0.003127891,0.001712394
94,0.003385063,0.003111209,0.001694177
95,0.003381482,0.003094791,0.001676344
96,0.003377943,0.00307863,0.001658882
97,0.003374445,0.003062719,0.00164178
98,0.003370986,0.003047053,0.001625027
99,0.003367565,0.003031625,0.001608613
100,0.003364182,0.003016429,0.001592526
101,0.003360836,0.003001459,0.001576759
102,0.003357527,0.002986709,0.0015613
103,0.003354253,0.002972176,0.001546142
104,0.003351013,0.002957852,0.001531275
105,0.003347808,0.002943733,0.001516692
106,0.003344636,0.002929815,0.001502383
107,0.003341497,0.002916092,0.001488342
108,0.00333839,0.00290256,0.001474562
109,0.003335315,0.002889215,0.001461033
110,0.00333227,0.002876052,0.001447751
111,0.003329256,0.002863067,0.001434709
112,0.003326272,0.002850257,0.001421899
113,0.003323316,0.002837617,0.001409315
114,0.003320389,0.002825144,0.001396953
115,0.003317491,0.002812834,0.001384806
116,0.00331462,0.002800684,0.001372868
117,0.003311776,0.002788689,0.001361134
118,0.003308958,0.002776848,0.001349599
119,0.003306167,0.002765156,0.001338258
120,0.003303402,0.00275361,0.001327105
121,0.003300661,0.002742208,0.001316138
122,0.003297946,0.002730946,0.00130535
123,0.003295255,0.002719822,0.001294737
124,0.003292588,0.002708833,0.001284296
125,0.003289944,0.002697976,0.001274021
126,0.003287324,0.002687248,0.00126391
127,0.003284726,0.002676648,0.001253958
128,0.003282151,0.002666172,0.001244161
129,0.003279597,0.002655817,0.001234517
130,0.003277066,0.002645583,0.00122502
131,0.003274556,0.002635466,0.001215669
132,0.003272066,0.002625464,0.001206459
133,0.003269598,0.002615575,0.001197388
134,0.00326715,0.002605798,0.001188453
135,0.003264721,0.002596128,0.001179649
136,0.003262313,0.002586566,0.001170975
137,0.003259924,0.002577109,0.001162428
138,0.003257554,0.002567755,0.001154005
139,0.003255203,0.002558501,0.001145702
140,0.00325287,0.002549348,0.001137519
141,0.003250556,0.002540291,0.001129451
142,0.003248259,0.002531331,0.001121498
143,0.00324598,0.002522464,0.001113655
144,0.003243719,0.002513691,0.001105921
145,0.003241475,0.002505008,0.001098294
146,0.003239248,0.002496414,0.001090772
147,0.003237038,0.002487908,0.001083351
148,0.003234844,0.002479489,0.001076031
149,0.003232666,0.002471155,0.00106881
150,0.003230505,0.002462904,0.001061684
151,0.003228359,0.002454735,0.001054653
152,0.003226229,0.002446647,0.001047715
153,0.003224114,0.002438638,0.001040867
154,0.003222014,0.002430708,0.001034108
155,0.003219929,0.002422854,0.001027436
156,0.003217859,0.002415076,0.00102085
157,0.003215804,0.002407372,0.001014348
158,0.003213763,0.002399742,0.001007928
159,0.003211736,0.002392184,0.001001589
160,0.003209723,0.002384696,9.95E-04
161,0.003207723,0.002377279,9.89E-04
162,0.003205738,0.00236993,9.83E-04
163,0.003203766,0.002362649,9.77E-04
164,0.003201807,0.002355435,9.71E-04
165,0.003199861,0.002348287,9.65E-04
166,0.003197928,0.002341203,9.59E-04
167,0.003196008,0.002334183,9.54E-04
168,0.0031941,0.002327225,9.48E-04
169,0.003192205,0.00232033,9.42E-04
170,0.003190323,0.002313495,9.37E-04
171,0.003188452,0.002306721,9.31E-04
172,0.003186593,0.002300005,9.26E-04
173,0.003184747,0.002293348,9.21E-04
174,0.003182912,0.002286749,9.15E-04
175,0.003181088,0.002280206,9.10E-04
176,0.003179276,0.002273719,9.05E-04
177,0.003177475,0.002267287,9.00E-04
178,0.003175686,0.002260909,8.95E-04
179,0.003173907,0.002254585,8.90E-04
180,0.003172139,0.002248313,8.85E-04
181,0.003170382,0.002242094,8.80E-04
182,0.003168636,0.002235926,8.75E-04
